analysis,field,node,CI
test-fields,Field 37,ExplorationAndDrilling,1.7212459729529497
test-fields,Field 37,ProductionExtraction,26.377890329768064
test-fields,Field 37,SurfaceProcessing,0.029381856304149676
test-fields,Field 37,TransportAndStorage,0.0
test-fields,Field 37,LiquifiedNaturalGas,0.0
test-fields,Field 37,After,0.0
test-fields,Field 37,CrudeOilDewatering,0.0
test-fields,Field 38,TOTAL,60.77870882064457
test-fields,Field 38,ExplorationAndDrilling,1.7201294950433375
test-fields,Field 38,ProductionExtraction,51.88028082466088
test-fields,Field 38,SurfaceProcessing,6.938240072549136
test-fields,Field 38,TransportAndStorage,0.0
test-fields,Field 38,LiquifiedNaturalGas,0.0
test-fields,Field 38,After,0.0
test-fields,Field 38,CrudeOilDewatering,0.0
test-fields,Field 39,TOTAL,26.006944556916633
test-fields,Field 39,ExplorationAndDrilling,1.7412855466006911
test-fields,Field 39,ProductionExtraction,23.708774884339206
test-fields,Field 39,SurfaceProcessing,0.07880319820026205
test-fields,Field 39,TransportAndStorage,0.0
test-fields,Field 39,LiquifiedNaturalGas,0.0
test-fields,Field 39,After,0.0
test-fields,Field 39,CrudeOilDewatering,0.0
test-fields,Field 40,TOTAL,7.560454556211696
test-fields,Field 40,ExplorationAndDrilling,1.720048869323334
test-fields,Field 40,ProductionExtraction,5.108289702496722
test-fields,Field 40,SurfaceProcessing,0.49537303328434534
test-fields,Field 40,TransportAndStorage,0.0
test-fields,Field 40,LiquifiedNaturalGas,0.0
test-fields,Field 40,After,0.0
test-fields,Field 40,CrudeOilDewatering,0.0
test-fields,Field 41,TOTAL,18.402903453094144
test-fields,Field 41,ExplorationAndDrilling,1.7200959346997768
test-fields,Field 41,ProductionExtraction,12.97376181423203
test-fields,Field 41,SurfaceProcessing,2.647461187776393
test-fields,Field 41,TransportAndStorage,0.0
test-fields,Field 41,LiquifiedNaturalGas,0.0
test-fields,Field 41,After,0.0
test-fields,Field 41,CrudeOilDewatering,0.0
test-fields,Field 42,TOTAL,17.091728956370094
test-fields,Field 42,ExplorationAndDrilling,1.7201265719365872
test-fields,Field 42,ProductionExtraction,11.867416257884832
test-fields,Field 42,SurfaceProcessing,2.710232485050255
test-fields,Field 42,TransportAndStorage,0.0
test-fields,Field 42,LiquifiedNaturalGas,0.0
test-fields,Field 42,After,0.0
test-fields,Field 42,CrudeOilDewatering,0.0
test-fields,Field 43,TOTAL,13.216671078989334
test-fields,Field 43,ExplorationAndDrilling,1.720090425622976
test-fields,Field 43,ProductionExtraction,9.652349808761247
test-fields,Field 43,SurfaceProcessing,1.153874139899392
test-fields,Field 43,TransportAndStorage,0.0
test-fields,Field 43,LiquifiedNaturalGas,0.0
test-fields,Field 43,After,0.0
test-fields,Field 43,CrudeOilDewatering,0.0
test-fields,Field 44,TOTAL,15.077809553021147
test-fields,Field 44,ExplorationAndDrilling,1.7200054763828232
test-fields,Field 44,ProductionExtraction,11.106632264078238
test-fields,Field 44,SurfaceProcessing,1.148226411353506
test-fields,Field 44,TransportAndStorage,0.0
test-fields,Field 44,LiquifiedNaturalGas,0.0
test-fields,Field 44,After,0.0
test-fields,Field 44,CrudeOilDewatering,0.0
test-fields,Field 45,TOTAL,14.505864734505803
test-fields,Field 45,ExplorationAndDrilling,1.720071079814929
test-fields,Field 45,ProductionExtraction,10.333445031926633
test-fields,Field 45,SurfaceProcessing,1.7976712241765875
test-fields,Field 45,TransportAndStorage,0.0
test-fields,Field 45,LiquifiedNaturalGas,0.0
test-fields,Field 45,After,0.0
test-fields,Field 45,CrudeOilDewatering,0.0
test-fields,Field 46,TOTAL,7.4339500438951625
test-fields,Field 46,ExplorationAndDrilling,1.7200088962451525
test-fields,Field 46,ProductionExtraction,5.61306839925563
test-fields,Field 46,SurfaceProcessing,0.0014227874884030938
test-fields,Field 46,TransportAndStorage,0.0
test-fields,Field 46,LiquifiedNaturalGas,0.0
test-fields,Field 46,After,0.0
test-fields,Field 46,CrudeOilDewatering,0.0
test-fields,Field 47,TOTAL,9.434074117649795
test-fields,Field 47,ExplorationAndDrilling,1.7200043726836567
test-fields,Field 47,ProductionExtraction,7.223673882197286
test-fields,Field 47,SurfaceProcessing,0.14704188257750805
