analysis,field,node,CI
test-fields,Field 56,TransportationBoundary,0.0
test-fields,Field 56,DistributionBoundary,0.0
test-fields,Field 56,CrudeOilDewatering,0.1626929035952603
test-fields,Field 57,ExplorationAndDrilling,1.2413473286532581
test-fields,Field 57,ProductionExtraction,14.089410463187239
test-fields,Field 57,SurfaceProcessing,0.2130997905734512
test-fields,Field 57,TransportAndStorage,0.0
test-fields,Field 57,LiquifiedNaturalGas,0.0
test-fields,Field 57,After,0.0
test-fields,Field 57,ProductionBoundary,0.0
test-fields,Field 57,TransportationBoundary,0.0
test-fields,Field 57,DistributionBoundary,0.0
test-fields,Field 57,CrudeOilDewatering,0.16563694996733103
test-fields,Field 58,ExplorationAndDrilling,1.2413595389439798
test-fields,Field 58,ProductionExtraction,4.218994378196809
test-fields,Field 58,SurfaceProcessing,0.3489372623362136
test-fields,Field 58,TransportAndStorage,0.0
test-fields,Field 58,LiquifiedNaturalGas,0.0
test-fields,Field 58,After,0.0
test-fields,Field 58,ProductionBoundary,0.0
test-fields,Field 58,TransportationBoundary,0.0
test-fields,Field 58,DistributionBoundary,0.0
test-fields,Field 58,CrudeOilDewatering,0.165636949967331
test-fields,Field 59,ExplorationAndDrilling,1.241344581351723
test-fields,Field 59,ProductionExtraction,11.131428789062483
test-fields,Field 59,SurfaceProcessing,0.2537971283436438
test-fields,Field 59,TransportAndStorage,0.0
test-fields,Field 59,LiquifiedNaturalGas,0.0
test-fields,Field 59,After,0.0
test-fields,Field 59,ProductionBoundary,0.0
test-fields,Field 59,TransportationBoundary,0.0
test-fields,Field 59,DistributionBoundary,0.0
test-fields,Field 59,CrudeOilDewatering,0.165636949967331
test-fields,Field 60,ExplorationAndDrilling,1.2344232184156003
test-fields,Field 60,ProductionExtraction,5.9347721370817546
test-fields,Field 60,SurfaceProcessing,0.25245933234147994
test-fields,Field 60,TransportAndStorage,0.0
test-fields,Field 60,LiquifiedNaturalGas,0.0
test-fields,Field 60,After,0.0
test-fields,Field 60,ProductionBoundary,0.0
test-fields,Field 60,TransportationBoundary,0.0
test-fields,Field 60,DistributionBoundary,0.0
test-fields,Field 60,CrudeOilDewatering,0.16678695239633654
test-fields,Field 61,ExplorationAndDrilling,1.234428112874867
test-fields,Field 61,ProductionExtraction,8.587623919004917
test-fields,Field 61,SurfaceProcessing,0.7637463498408675
test-fields,Field 61,TransportAndStorage,0.0
test-fields,Field 61,LiquifiedNaturalGas,0.0
test-fields,Field 61,After,0.0
test-fields,Field 61,ProductionBoundary,0.0
test-fields,Field 61,TransportationBoundary,0.0
test-fields,Field 61,DistributionBoundary,0.0
test-fields,Field 61,CrudeOilDewatering,0.16678695239633662
test-fields,Field 62,ExplorationAndDrilling,1.2219883622251333
test-fields,Field 62,ProductionExtraction,19.801037833053254
test-fields,Field 62,SurfaceProcessing,2.8911499466180457
test-fields,Field 62,TransportAndStorage,0.0
test-fields,Field 62,LiquifiedNaturalGas,0.0
test-fields,Field 62,After,0.0
test-fields,Field 62,ProductionBoundary,0.0
test-fields,Field 62,TransportationBoundary,0.0
test-fields,Field 62,DistributionBoundary,0.0
test-fields,Field 62,CrudeOilDewatering,0.1708531577089543
test-fields,Field 63,ExplorationAndDrilling,1.2239553016340283
test-fields,Field 63,ProductionExtraction,28.367816118968836
test-fields,Field 63,SurfaceProcessing,4.538153897188912
test-fields,Field 63,TransportAndStorage,0.0
test-fields,Field 63,LiquifiedNaturalGas,0.0
test-fields,Field 63,After,0.0
test-fields,Field 63,ProductionBoundary,0.0
test-fields,Field 63,TransportationBoundary,0.0
test-fields,Field 63,DistributionBoundary,0.0
test-fields,Field 63,CrudeOilDewatering,0.1708531577089543
test-fields,Field 64,ExplorationAndDrilling,1.2469136993649925
test-fields,Field 64,ProductionExtraction,-8.973602666670443
test-fields,Field 64,SurfaceProcessing,0.0
test-fields,Field 64,TransportAndStorage,0.0
test-fields,Field 64,LiquifiedNaturalGas,0.0
test-fields,Field 64,After,0.0
test-fields,Field 64,ProductionBoundary,0.0
test-fields,Field 64,TransportationBoundary,0.0
test-fields,Field 64,DistributionBoundary,0.0
